239.81      12 	        0.000188  17    1 0.0
481.408     20 	        1.537     22    1 0.0
809.48      12 	        0.00246   10    1 0.0
975.366     3 	        7.08      17    1 0.0
1353.9      20 	        0.000355   8    1 0.0
1681.938    9 	        0.0238    12    1 0.0
312.25      12 	        0.000032   3    2 315.06
553.851     2        	  0.442      6    2 556.658
881.92      12 	        0.000407  17    2 884.73
1047.809    3  	        1.84       5    2 1050.616
1426.4      20   	      0.0000613 13    2 1429.2
1754.381    9 	        0.0034     5    2 1757.188
324.28      12 	        0.0000075  7    2 325.61
565.874     20 	        0.111      5    2 567.209
893.95      12 	        0.000095   4    2 895.28
1059.832    3 	        0.44       3    2 1061.167
1438.4      20 	        0.0000144  3    2 1439.7
327.22      12 	        0.00000233 21   2 328.01
896.89      12 	        0.0000294  13   2 897.68
1441.3      20 	        0.00001058 23   2 1442.1
